movieId,normalized_title,genres,mode_rating
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,4.0
2,Jumanji,Adventure|Children|Fantasy,3.0
3,Grumpier Old Men,Comedy|Romance,3.0
4,Waiting to Exhale,Comedy|Drama|Romance,3.0
5,Father of the Bride Part II,Comedy,3.0
6,Heat,Action|Crime|Thriller,4.0
7,Sabrina,Comedy|Romance,3.0
8,Tom and Huck,Adventure|Children,3.0
9,Sudden Death,Action,3.0
10,GoldenEye,Action|Adventure|Thriller,3.0
11,"American President, The",Comedy|Drama|Romance,4.0
12,Dracula: Dead and Loving It,Comedy|Horror,3.0
13,Balto,Adventure|Animation|Children,3.0
14,Nixon,Drama,3.0
15,Cutthroat Island,Action|Adventure|Romance,3.0
16,Casino,Crime|Drama,4.0
17,Sense and Sensibility,Drama|Romance,4.0
18,Four Rooms,Comedy,3.0
19,Ace Ventura: When Nature Calls,Comedy,3.0
20,Money Train,Action|Comedy|Crime|Drama|Thriller,3.0
21,Get Shorty,Comedy|Crime|Thriller,4.0
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,3.0
23,Assassins,Action|Crime|Thriller,3.0
24,Powder,Drama|Sci-Fi,3.0
25,Leaving Las Vegas,Drama|Romance,4.0
26,Othello,Drama,4.0
27,Now and Then,Children|Drama,3.0
28,Persuasion,Drama|Romance,4.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,4.0
31,Dangerous Minds,Drama,3.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,4.0
33,Wings of Courage,Adventure|IMAX|Romance,3.0
34,Babe,Children|Drama,4.0
35,Carrington,Drama|Romance,4.0
36,Dead Man Walking,Crime|Drama,4.0
37,Across the Sea of Time,Documentary|IMAX,3.0
38,It Takes Two,Children|Comedy,3.0
39,Clueless,Comedy|Romance,3.0
40,"Cry, the Beloved Country",Drama,4.0
41,Richard III,Drama|War,4.0
42,Dead Presidents,Action|Crime|Drama,3.0
43,Restoration,Drama,3.0
44,Mortal Kombat,Action|Adventure|Fantasy,3.0
45,To Die For,Comedy|Drama|Thriller,3.0
46,How to Make an American Quilt,Drama|Romance,3.0
47,Seven (a.k.a. Se7en),Mystery|Thriller,4.0
48,Pocahontas,Animation|Children|Drama|Musical|Romance,3.0
49,When Night Is Falling,Drama|Romance,4.0
50,"Usual Suspects, The",Crime|Mystery|Thriller,5.0
51,Guardian Angel,Action|Drama|Thriller,3.0
52,Mighty Aphrodite,Comedy|Drama|Romance,4.0
53,Lamerica,Adventure|Drama,3.0
54,"Big Green, The",Children|Comedy,3.0
55,Georgia,Drama,3.0
56,Kids of the Round Table,Adventure|Children|Fantasy,1.0
57,Home for the Holidays,Drama,3.0
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,4.0
59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,4.0
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,3.0
61,Eye for an Eye,Drama|Thriller,3.0
62,Mr. Holland's Opus,Drama,4.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,3.0
64,Two if by Sea,Comedy|Romance,3.0
65,Bio-Dome,Comedy,3.0
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1.0
67,Two Bits,Drama,3.0
68,French Twist (Gazon maudit),Comedy|Romance,3.0
69,Friday,Comedy,4.0
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,4.0
71,Fair Game,Action,3.0
72,Kicking and Screaming,Comedy|Drama,3.0
73,"Misérables, Les",Drama|War,4.0
74,Bed of Roses,Drama|Romance,3.0
75,Big Bully,Comedy|Drama,3.0
76,Screamers,Action|Sci-Fi|Thriller,3.0
77,Nico Icon,Documentary,4.0
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,3.0
79,"Juror, The",Drama|Thriller,3.0
80,"White Balloon, The (Badkonake sefid)",Children|Drama,4.0
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,3.0
82,Antonia's Line (Antonia),Comedy|Drama,5.0
83,Once Upon a Time... When We Were Colored,Drama|Romance,4.0
84,Last Summer in the Hamptons,Comedy|Drama,4.0
85,Angels and Insects,Drama|Romance,4.0
86,White Squall,Action|Adventure|Drama,3.0
87,Dunston Checks In,Children|Comedy,3.0
88,Black Sheep,Comedy,3.0
89,Nick of Time,Action|Thriller,3.0
90,"Journey of August King, The",Drama,3.0
92,Mary Reilly,Drama|Horror|Thriller,3.0
93,Vampire in Brooklyn,Comedy|Horror|Romance,3.0
94,Beautiful Girls,Comedy|Drama|Romance,3.0
95,Broken Arrow,Action|Adventure|Thriller,3.0
96,In the Bleak Midwinter,Comedy|Drama,4.0
97,"Hate (Haine, La)",Crime|Drama,4.0
98,Shopping,Action|Thriller,3.0
99,Heidi Fleiss: Hollywood Madam,Documentary,3.0
100,City Hall,Drama|Thriller,3.0
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,4.0
102,Mr. Wrong,Comedy,3.0
103,Unforgettable,Mystery|Sci-Fi|Thriller,3.0
104,Happy Gilmore,Comedy,3.0
105,"Bridges of Madison County, The",Drama|Romance,3.0
